Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PI3K/AKT/mTOR  Signaling,0.18201298854377893,0.6981857657876684,0.9285714285714286,0.995650854859506,1.0,28/102,27.76%,CDK1;E2F1;SFN;TRAF2;PLCG1;PLCB1;RPTOR;HRAS;RIT1;PRKAA2;ACACA;FGF17;THEM4;GNGT1;SQSTM1;CDK4;PIK3R3;PITX2;DDIT3;CFL1;TSC2;SMAD2;CSNK2B;ARF1;PRKAG1;FGF22;ARPC3;SLC2A1
prerank,Notch Signaling,0.18307191323187716,0.5839375796446414,0.9651567944250871,0.9927697208483528,1.0,14/32,41.10%,KAT2A;NOTCH3;PRKCA;SAP30;PSEN2;APH1A;HEYL;DTX2;JAG1;LFNG;RBX1;SKP1;PSENEN;PPARD
prerank,Apical Surface,-0.1832490941246915,-0.8498052199238403,0.7540983606557377,0.8161120840630472,0.9334836527621195,9/42,10.87%,CD160;B4GALT1;SRPX;CRYBG1;ADIPOR2;GATA3;IL2RB;DCBLD2;GAS1
prerank,Protein Secretion,-0.17401776728023222,-0.952038318899433,0.625,0.6011545696309268,0.8015783540022547,18/94,12.09%,RAB14;LMAN1;ABCA1;ARCN1;AP1G1;SEC24D;VPS4B;STX12;RAB5A;DOP1A;SEC22B;USO1;SOD1;MON2;TMED10;BNIP3;EGFR;GALC
prerank,Reactive Oxygen Species Pathway,-0.25404802640239316,-1.1933507689450384,0.125,0.13720867573757242,0.2807215332581736,17/48,19.10%,JUNB;CAT;MSRA;PRNP;MGST1;IPCEF1;SOD1;GCLC;GLRX;MPO;SCAF4;PRDX4;SOD2;OXSR1;HMOX2;TXNRD2;MBP
prerank,Estrogen Response Late,-0.22721492097579368,-1.309838977289127,0.0,0.060315236427320486,0.12401352874859076,44/194,12.02%,ZFP36;FOS;CXCL12;ID2;IL6ST;EGR3;NPY1R;CXCL14;ASS1;PRKAR2B;NAB2;IGFBP4;TFPI2;CISH;XBP1;ABHD2;PPIF;RABEP1;SERPINA1;PAPSS2;ACOX2;CA2;SLC27A2;RET;SGK1;SORD;HMGCS2;DNAJC12;AFF1;PLAAT3;NRIP1;KLF4;TPD52L1;IDH2;JAK1;TIAM1;TH;DCXR;FAM102A;DUSP2;SERPINA5;GJB3;KLK10;SERPINA3
prerank,KRAS Signaling Up,-0.2966395656428169,-1.6750292869224064,0.0,0.004597197898423818,0.010146561443066516,65/191,17.16%,TRIB1;SPRY2;DUSP6;ID2;IGFBP3;IRF8;CBR4;PTGS2;USP12;IL1B;PPBP;IL33;EVI5;PPP1R15A;ANXA10;CA2;TSPAN7;HBEGF;ST6GAL1;GADD45G;SATB1;NR1H4;MAP7;KLF4;RBP4;G0S2;DNMBP;CCSER2;TNFRSF1B;ETS1;NR0B2;PDCD1LG2;IL10RA;CDADC1;INHBA;ENG;NGF;FUCA1;DCBLD2;ARG1;ANO1;GLRX;PLEK2;AKT2;SERPINA3;EPB41L3;EMP1;HDAC9;IKZF1;DOCK2;C3AR1;CMKLR1;TMEM176B;TLR8;STRN;CAB39L;MTMR10;CFH;GUCY1A1;YRDC;IL7R;ANGPTL4;PLAUR;HSD11B1;ALDH1A3
prerank,Apoptosis,-0.2887277077974842,-1.6895336550459026,0.0,0.004264067615929339,0.009019165727170236,56/158,18.64%,MCL1;GADD45B;JUN;ATF3;RHOB;EGR3;WEE1;GCH1;FEZ1;IL1B;DCN;CD14;CASP7;HGF;HMOX1;DPYD;AVPR1A;TGFBR3;GADD45A;CD69;CLU;SC5D;SATB1;IL6;BGN;RETSAT;CFLAR;F2;SAT1;SLC20A1;BNIP3L;MGMT;CYLD;PLCB2;SOD1;SMAD7;BCL10;PPP3R1;TXNIP;CDKN1A;EMP1;FAS;DNAJA1;PRF1;SOD2;CASP4;TNF;IRF1;CASP6;CASP1;CTH;TNFSF10;CDKN1B;ROCK1;CCND1;TIMP3
prerank,Estrogen Response Early,-0.2801315458551783,-1.7048815748625765,0.0,0.003900652762298997,0.007891770011273957,58/199,16.34%,FOS;CXCL12;IL6ST;CBFA2T3;KLF10;DLC1;EGR3;BHLHE40;AQP3;NPY1R;ABAT;TIPARP;SLC7A2;B4GALT1;RETREG1;KAZN;IGFBP4;HES1;CISH;XBP1;ABHD2;OLFML3;PPIF;PAPSS2;SLC27A2;RET;FHL2;AFF1;MYC;PLAAT3;NRIP1;SLC1A1;KLF4;ELF1;TPD52L1;ESRP2;AR;TIAM1;FAM102A;ASB13;PEX11A;RAB17;KLK10;DHRS3;AMFR;LRIG1;SLC16A1;TSKU;SYBU;NAV2;OLFM1;TGM2;FCMR;CCN5;ADCY1;INHBB;GFRA1;JAK2
prerank,Cholesterol Homeostasis,-0.3354487439768814,-1.7134651829829404,0.0,0.0035026269702276708,0.006764374295377677,18/74,9.95%,PNRC1;LDLR;NFIL3;ANTXR2;ATF3;ERRFI1;ADH4;AVPR1A;CLU;SC5D;PLSCR1;ACAT2;LGMN;CPEB2;ECH1;ETHE1;ATF5;GLDC
