Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,n_hits
gs_ind_0,Telomere Maintenance R-HSA-157579,16/78,0.0006025433684398594,0.012939761791655605,2.9217977528089887,21.663233840163738,PIF1;BLM;CCNA2;H2BC15;H2BC17;DSCC1;H2BC9;POLD1;CHTF18;PRIM2;RFC4;POLA2;FEN1;H2AX;H2BC11;TERT,up in tumor,16
gs_ind_0,Diseases Of DNA Repair R-HSA-9675135,12/50,0.0006571315976601684,0.013318649345433769,3.5897176381179663,26.30410922633642,BLM;EXO1;RAD51;BRCA2;RFC4;ARTN;NEIL3;RMI2;XRCC2;BRIP1;MSH2;RAD51AP1,up in tumor,12
gs_ind_0,Potassium Channels R-HSA-1296071,16/79,0.0006980815310161991,0.013900395398305019,2.8756427712910235,20.89779826553852,KCNH6;HCN2;KCNQ3;HCN3;KCNC1;KCNK9;KCNN3;KCNH4;GNG4;KCNJ5;GABBR2;KCNN1;KCNJ11;KCNJ6;KCNF1;UBD,up in tumor,16
gs_ind_0,DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,11/44,0.0007560844714370536,0.014795790949673378,3.7943202816200494,27.2711361563908,CCNA2;H1-4;H2BC15;H2BC17;H2BC9;HMGA1;CCNE1;ARTN;CCNE2;H2BC11;H2AX,up in tumor,11
gs_ind_0,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,14/65,0.0007804526160328833,0.015013791850802077,3.114352081943555,22.2851715236253,BLM;EME1;CHEK1;EXO1;POLD1;XRCC3;RAD51;BRCA2;RFC4;ARTN;RMI2;XRCC2;BRIP1;RAD51AP1,up in tumor,14
gs_ind_0,Meiosis R-HSA-1500620,14/66,0.0009158227918356163,0.017324314478890407,3.054879876943934,21.370985490607534,PRDM9;BLM;PSMC3IP;MSH5;H2BC15;H2BC17;H2BC9;SMC1B;MSH4;RAD51;BRCA2;ARTN;H2BC11;H2AX,up in tumor,14
gs_ind_0,Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,10/39,0.0010538972667120978,0.01960939996259395,3.9327543183070293,26.960054561810978,BLM;CHEK1;EXO1;RAD51;BRCA2;RFC4;ARTN;RMI2;XRCC2;BRIP1,up in tumor,10
gs_ind_0,E2F Mediated Regulation Of DNA Replication R-HSA-113510,7/21,0.0011228679530342017,0.020555727849900306,5.709966805525516,38.781347646687536,CCNB1;E2F1;ORC6;PRIM2;POLA2;MCM8;CDK1,up in tumor,7
gs_ind_0,Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,6/16,0.0012744477717205214,0.022960289220679237,6.831457903412114,45.53332228696448,CCNA2;E2F1;LIN9;RBL1;CDK1;MYBL2,up in tumor,6
gs_ind_0,Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,10/40,0.001301673754506034,0.023084370490067944,3.80362348368492,25.27167129252112,BLM;EXO1;RAD51;BRCA2;RFC4;ARTN;RMI2;XRCC2;BRIP1;RAD51AP1,up in tumor,10
gs_ind_0,"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767",4/7,0.0013663777288111573,0.023859057264625592,14.177861615650889,93.51139113467266,CDK1;CCNB1;CCNB2;PLK1,up in tumor,4
gs_ind_0,Collagen Chain Trimerization R-HSA-8948216,10/41,0.001594856276535222,0.02623423005605039,3.6826914322134208,23.720111131062932,COL2A1;COL8A1;COL22A1;COL9A1;COL24A1;COL15A1;COL11A1;COL4A1;COL7A1;COL4A2,up in tumor,10
gs_ind_0,Condensation Of Prophase Chromosomes R-HSA-2299718,8/28,0.0015570629343063106,0.02623423005605039,4.578398163244934,29.59913336665674,CCNB1;H2BC15;H2BC17;H2BC9;PLK1;CDK1;H2BC11;H2AX,up in tumor,8
gs_ind_0,Defective Pyroptosis R-HSA-9710421,8/28,0.0015570629343063106,0.02623423005605039,4.578398163244934,29.59913336665674,EZH2;H2BC15;H2BC17;H2BC9;PRIM2;POLA2;H2BC11;H2AX,up in tumor,8
gs_ind_0,Signaling By Rho GTPases R-HSA-194315,72/609,0.0015920996976178743,0.02623423005605039,1.5038562439592087,9.688896983091327,CENPL;KIF5A;CENPE;H2BC9;DEPDC1B;ARHGAP11B;CENPK;SPDL1;AURKB;BIRC5;ARHGAP22;CENPF;MAD2L1;SPC24;LRRC1;SGO1;RHPN1;ERCC6L;INCENP;DSN1;BUB1B;SKA1;CENPI;H2BC15;CENPH;H2BC17;CENPA;CDCA8;CDC20;IQGAP3;RACGAP1;CCDC187;MPZ;PLXNA1;PKN3;MCAM;ARHGAP33;SPC25;DOCK3;NUF2;ECT2;ANLN;SCRIB;BUB1;ARHGAP11A;CENPM;MUC13;ZWINT;FGD1;ARHGEF39;DBN1;SEMA4F;KNTC1;ARHGAP39;DLG5;BAIAP2L2;CDC25C;RASGRF2;KIF2C;ARHGEF11;NDC80;PLK1;PRC1;SGO2;CENPU;KIF18A;DYNC1I1;CENPO;H2BC11;H2AX;DIAPH3;KIF14,up in tumor,72
gs_ind_0,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,14/70,0.0016712033038846317,0.02679028908887772,2.8380431649099176,18.147047875804226,CCNA2;BLM;H2BC15;CHEK1;EXO1;H2BC9;H2BC17;CLSPN;RFC4;ARTN;RMI2;BRIP1;H2BC11;H2AX,up in tumor,14
gs_ind_0,Cellular Senescence R-HSA-2559583,23/143,0.001675868304238166,0.02679028908887772,2.160465049912389,13.808447863160527,CCNA2;CDKN2A;E2F1;H2BC9;CCNE1;EHMT2;E2F2;DAND5;CBX2;H2BC15;H2BC17;CBX8;HMGA1;CDKN2C;EZH2;ARTN;CCNE2;H1-4;UBE2C;CDKN2B;UBE2S;H2BC11;H2AX,up in tumor,23
gs_ind_0,Collagen Formation R-HSA-1474290,16/86,0.0018001702810395937,0.02837768429138804,2.589220013644076,16.36354429105478,COL2A1;COL8A1;LAMA4;LOX;COL22A1;COL9A1;COL24A1;CTSV;COL11A1;COL15A1;LOXL2;COL4A1;ITGA6;COL7A1;P4HA2;COL4A2,up in tumor,16
gs_ind_0,Diseases Of Programmed Cell Death R-HSA-9645723,12/56,0.0018975564330258306,0.02940334356983366,3.104789030119242,19.458297509648094,CDKN2A;EZH2;H2BC15;CDC25C;H2BC17;H2BC9;PRIM2;CDC25A;POLA2;H2BC11;ERC2;H2AX,up in tumor,12
gs_ind_0,Expression And Translocation Of Olfactory Receptors R-HSA-9752946,5/12,0.001917046188694001,0.02940334356983366,8.089439753019159,50.615379594091365,EBF1;OR51E2;OR2B6;OR51E1;OR2I1P,up in tumor,5
gs_ind_0,Extension Of Telomeres R-HSA-180786,11/49,0.001953775739914549,0.029567139530706842,3.3007350670646654,20.589957297696063,PIF1;CCNA2;BLM;DSCC1;CHTF18;POLD1;PRIM2;RFC4;POLA2;FEN1;TERT,up in tumor,11
gs_ind_0,Extracellular Matrix Organization R-HSA-1474244,37/271,0.001982890306553341,0.02961290128865845,1.77519960891018,11.047421758627172,COL2A1;CAPN9;COL22A1;MMP11;COL24A1;CTSV;COL11A1;IBSP;LOXL2;MMP10;MATN3;BCAN;P4HA2;MMP24;COL4A2;ADAM15;ACAN;ADAMTS16;ITGA6;ERC2;MMP1;FGF13;HAPLN1;ITGA2;MMP12;COL7A1;LAMC1;COL8A1;LOX;LAMA4;CAPN8;COL9A1;COL15A1;CAPN11;COL4A1;PDGFA;ADAMTS18,up in tumor,37
gs_ind_0,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",73/625,0.002040591959850549,0.029694957746336317,1.4829174320146947,9.185954775855295,CENPL;KIF5A;CENPE;H2BC9;DEPDC1B;ARHGAP11B;CENPK;SPDL1;AURKB;CCNE1;BIRC5;ARHGAP22;CENPF;MAD2L1;SPC24;LRRC1;SGO1;RHPN1;ERCC6L;INCENP;DSN1;BUB1B;SKA1;CENPI;H2BC15;CENPH;H2BC17;CENPA;CDCA8;CDC20;IQGAP3;RACGAP1;CCDC187;MPZ;PLXNA1;PKN3;MCAM;ARHGAP33;SPC25;DOCK3;NUF2;ECT2;ANLN;SCRIB;BUB1;ARHGAP11A;CENPM;MUC13;ZWINT;FGD1;ARHGEF39;DBN1;SEMA4F;KNTC1;ARHGAP39;DLG5;BAIAP2L2;CDC25C;RASGRF2;KIF2C;ARHGEF11;NDC80;PLK1;PRC1;SGO2;CENPU;KIF18A;DYNC1I1;CENPO;H2BC11;H2AX;DIAPH3;KIF14,up in tumor,73
gs_ind_0,Assembly Of Pre-Replicative Complex R-HSA-68867,17/95,0.0020407107526116586,0.029694957746336317,2.4666552563052435,15.27959022404096,H2BC15;MCM4;H2BC17;H2BC9;GMNN;MCM7;ORC6;UBE2C;MCM3;MCM6;CDT1;H2BC11;MCM8;UBE2S;H2AX;CDC6;MCM5,up in tumor,17
gs_ind_0,Acetylcholine Binding And Downstream Events R-HSA-181431,4/8,0.0025526721071946253,0.03576892397118395,11.026681187040566,65.83606350058827,CHRNA3;CHRNB4;CHRNB2;CHRNA5,up in tumor,4
gs_ind_0,Presynaptic Nicotinic Acetylcholine Receptors R-HSA-622323,4/8,0.0025526721071946253,0.03576892397118395,11.026681187040566,65.83606350058827,CHRNA3;CHRNB4;CHRNB2;CHRNA5,up in tumor,4
gs_ind_0,E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,4/8,0.0025526721071946253,0.03576892397118395,11.026681187040566,65.83606350058827,ORC6;CDK1;MCM8;CCNB1,up in tumor,4
gs_ind_0,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,6/19,0.0034747801395531566,0.048096042175522345,5.312568769368988,30.08095476561552,E2F1;LIN9;TOP2A;CDC25A;RBL1;CDC6,up in tumor,6
gs_ind_0,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,14/76,0.0037199676365792674,0.05086943695804179,2.5648289077470574,14.347756299675881,KIF15;CENPE;KIF5A;KIFC2;KIF2C;RACGAP1;KIF20A;KIF4A;KIFC1;KIF23;KIF11;KIF18A;KIF21B;KIF18B,up in tumor,14
